paper,screening,patch,C,M,Y,K,L_t,a_t,b_t,L_m,a_m,b_m,de00
ofsetni papir 80 g,150 dot,218,21.0,100.0,100.0,25.0,32.0,66.0,29.0,33.0,65.0,26.0,1.86
ofsetni papir 80 g,150 dot,219,52.0,0.0,100.0,25.0,51.0,34.0,-17.0,50.0,70.0,-18.0,1.53
ofsetni papir 80 g,150 dot,220,52.0,31.0,100.0,25.0,39.0,23.0,-6.0,38.0,60.0,-6.0,0.97
ofsetni papir 80 g,150 dot,221,52.0,72.0,100.0,25.0,29.0,41.0,5.0,29.0,12.0,5.0,0.53
ofsetni papir 80 g,150 dot,222,52.0,100.0,100.0,25.0,25.0,4.0,13.0,26.0,34.0,12.0,1.41
ofsetni papir 80 g,150 dot,223,81.0,0.0,100.0,25.0,41.0,34.0,-32.0,41.0,62.0,-32.0,0.95
ofsetni papir 80 g,150 dot,224,81.0,31.0,100.0,25.0,33.0,57.0,-17.0,32.0,77.0,-17.0,0.98
ofsetni papir 80 g,150 dot,225,81.0,72.0,100.0,25.0,26.0,46.0,-1.0,48.0,8.0,-25.0,27.51
ofsetni papir 80 g,150 dot,226,81.0,100.0,100.0,25.0,24.0,46.0,2.0,25.0,90.0,2.0,1.06
ofsetni papir 80 g,150 dot,227,100.0,0.0,100.0,25.0,39.0,26.0,-38.0,40.0,4.0,-36.0,1.17
ofsetni papir 80 g,150 dot,228,100.0,31.0,100.0,25.0,31.0,45.0,-23.0,32.0,85.0,-21.0,1.58
ofsetni papir 80 g,150 dot,229,100.0,72.0,100.0,25.0,24.0,71.0,-4.0,26.0,39.0,-4.0,1.27
ofsetni papir 80 g,150 dot,230,100.0,100.0,100.0,25.0,24.0,49.0,-0.0,24.0,69.0,-0.0,0.2
ofsetni papir 80 g,150 dot,231,0.0,0.0,0.0,60.0,40.0,14.0,-0.0,40.0,16.0,-0.0,0.17
ofsetni papir 80 g,150 dot,232,0.0,31.0,0.0,60.0,38.0,21.0,3.0,38.0,79.0,3.0,0.62
ofsetni papir 80 g,150 dot,233,0.0,72.0,0.0,60.0,31.0,44.0,12.0,32.0,28.0,11.0,1.12
ofsetni papir 80 g,150 dot,234,0.0,100.0,0.0,60.0,26.0,51.0,18.0,27.0,39.0,15.0,1.66
ofsetni papir 80 g,150 dot,235,31.0,0.0,0.0,60.0,41.0,32.0,-4.0,40.0,28.0,-4.0,0.94
ofsetni papir 80 g,150 dot,236,31.0,31.0,0.0,60.0,35.0,81.0,0.0,34.0,66.0,0.0,1.05
ofsetni papir 80 g,150 dot,237,31.0,72.0,0.0,60.0,28.0,83.0,8.0,28.0,17.0,7.0,0.71
ofsetni papir 80 g,150 dot,238,31.0,100.0,0.0,60.0,22.0,86.0,14.0,23.0,14.0,13.0,0.63
ofsetni papir 80 g,150 dot,239,72.0,0.0,0.0,60.0,33.0,70.0,-10.0,30.0,44.0,-6.0,9.15
ofsetni papir 80 g,150 dot,240,72.0,31.0,0.0,60.0,29.0,83.0,-5.0,30.0,2.0,-5.0,0.27
ofsetni papir 80 g,150 dot,241,72.0,72.0,0.0,60.0,25.0,12.0,0.0,25.0,58.0,0.0,0.5
ofsetni papir 80 g,150 dot,242,72.0,100.0,0.0,60.0,21.0,97.0,4.0,23.0,13.0,3.0,0.96
ofsetni papir 80 g,150 dot,243,100.0,0.0,0.0,60.0,29.0,48.0,-13.0,30.0,14.0,-13.0,0.86
ofsetni papir 80 g,150 dot,244,100.0,31.0,0.0,60.0,27.0,15.0,-7.0,28.0,29.0,-7.0,0.98
ofsetni papir 80 g,150 dot,245,100.0,72.0,0.0,60.0,21.0,96.0,-1.0,24.0,55.0,-2.0,1.97
ofsetni papir 80 g,150 dot,246,100.0,100.0,0.0,60.0,22.0,12.0,0.0,23.0,57.0,0.0,1.18
ofsetni papir 80 g,150 dot,247,0.0,0.0,31.0,60.0,42.0,26.0,-1.0,43.0,2.0,-1.0,0.76
ofsetni papir 80 g,150 dot,248,0.0,31.0,31.0,60.0,37.0,33.0,3.0,38.0,1.0,2.0,0.89
ofsetni papir 80 g,150 dot,249,0.0,72.0,31.0,60.0,31.0,14.0,11.0,31.0,4.0,10.0,0.67
ofsetni papir 80 g,150 dot,250,0.0,100.0,31.0,60.0,27.0,53.0,15.0,27.0,57.0,15.0,0.39
ofsetni papir 80 g,150 dot,251,31.0,0.0,31.0,60.0,39.0,5.0,-4.0,37.0,84.0,-4.0,1.04
ofsetni papir 80 g,150 dot,252,31.0,31.0,31.0,60.0,33.0,39.0,-0.0,33.0,6.0,-0.0,0.32
ofsetni papir 80 g,150 dot,253,31.0,72.0,31.0,60.0,27.0,83.0,6.0,70.0,25.0,-4.0,45.81
ofsetni papir 80 g,150 dot,254,31.0,100.0,31.0,60.0,23.0,67.0,10.0,26.0,14.0,10.0,1.84
ofsetni papir 80 g,150 dot,255,72.0,0.0,31.0,60.0,32.0,90.0,-10.0,32.0,71.0,-10.0,0.23
ofsetni papir 80 g,150 dot,256,72.0,31.0,31.0,60.0,29.0,21.0,-4.0,29.0,13.0,-4.0,0.17
ofsetni papir 80 g,150 dot,257,72.0,72.0,31.0,60.0,25.0,32.0,0.0,25.0,88.0,0.0,0.48
ofsetni papir 80 g,150 dot,258,72.0,100.0,31.0,60.0,23.0,13.0,2.0,24.0,89.0,2.0,1.33
ofsetni papir 80 g,150 dot,259,100.0,0.0,31.0,60.0,29.0,10.0,-13.0,30.0,33.0,-12.0,1.05
ofsetni papir 80 g,150 dot,260,100.0,31.0,31.0,60.0,25.0,53.0,-7.0,27.0,63.0,-6.0,1.64
ofsetni papir 80 g,150 dot,261,100.0,72.0,31.0,60.0,23.0,62.0,-1.0,24.0,89.0,-1.0,0.96
ofsetni papir 80 g,150 dot,262,100.0,100.0,31.0,60.0,22.0,3.0,0.0,22.0,85.0,0.0,0.62
ofsetni papir 80 g,150 dot,263,0.0,0.0,72.0,60.0,42.0,12.0,-2.0,40.0,75.0,-2.0,1.45
ofsetni papir 80 g,150 dot,264,0.0,31.0,72.0,60.0,36.0,76.0,2.0,36.0,53.0,2.0,0.38
ofsetni papir 80 g,150 dot,265,0.0,72.0,72.0,60.0,30.0,78.0,10.0,30.0,37.0,10.0,0.48
ofsetni papir 80 g,150 dot,266,0.0,100.0,72.0,60.0,27.0,62.0,15.0,27.0,23.0,15.0,0.46
ofsetni papir 80 g,150 dot,267,31.0,0.0,72.0,60.0,36.0,82.0,-5.0,51.0,54.0,-42.0,22.77
ofsetni papir 80 g,150 dot,268,31.0,31.0,72.0,60.0,31.0,57.0,-1.0,33.0,12.0,-0.0,1.26
ofsetni papir 80 g,150 dot,269,31.0,72.0,72.0,60.0,27.0,52.0,5.0,27.0,78.0,5.0,0.55
ofsetni papir 80 g,150 dot,270,31.0,100.0,72.0,60.0,25.0,74.0,8.0,25.0,37.0,8.0,0.54
ofsetni papir 80 g,150 dot,271,72.0,0.0,72.0,60.0,30.0,17.0,-11.0,30.0,67.0,-11.0,0.39
ofsetni papir 80 g,150 dot,272,72.0,31.0,72.0,60.0,28.0,43.0,-5.0,28.0,70.0,-5.0,0.25
ofsetni papir 80 g,150 dot,273,72.0,72.0,72.0,60.0,26.0,69.0,0.0,26.0,96.0,0.0,0.28
ofsetni papir 80 g,150 dot,274,72.0,100.0,72.0,60.0,24.0,7.0,2.0,24.0,79.0,1.0,0.53
ofsetni papir 80 g,150 dot,275,100.0,0.0,72.0,60.0,28.0,68.0,-13.0,29.0,53.0,-13.0,0.79
ofsetni papir 80 g,150 dot,276,100.0,31.0,72.0,60.0,25.0,95.0,-7.0,27.0,20.0,-7.0,0.93
ofsetni papir 80 g,150 dot,277,100.0,72.0,72.0,60.0,24.0,85.0,-1.0,25.0,62.0,-1.0,0.59
ofsetni papir 80 g,150 dot,278,100.0,100.0,72.0,60.0,23.0,92.0,-0.0,24.0,7.0,-0.0,0.31
ofsetni papir 80 g,150 dot,279,0.0,0.0,100.0,60.0,39.0,46.0,-3.0,38.0,45.0,-3.0,0.92
ofsetni papir 80 g,150 dot,280,0.0,31.0,100.0,60.0,34.0,53.0,0.0,34.0,55.0,1.0,0.42
ofsetni papir 80 g,150 dot,281,0.0,72.0,100.0,60.0,28.0,40.0,11.0,69.0,27.0,0.0,46.24
ofsetni papir 80 g,150 dot,282,0.0,100.0,100.0,60.0,24.0,22.0,15.0,24.0,45.0,15.0,0.19
ofsetni papir 80 g,150 dot,283,31.0,0.0,100.0,60.0,34.0,81.0,-6.0,35.0,36.0,-6.0,0.51
ofsetni papir 80 g,150 dot,284,31.0,31.0,100.0,60.0,31.0,23.0,-1.0,31.0,22.0,-1.0,0.31
ofsetni papir 80 g,150 dot,285,31.0,72.0,100.0,60.0,26.0,43.0,4.0,27.0,42.0,4.0,1.06
ofsetni papir 80 g,150 dot,286,31.0,100.0,100.0,60.0,25.0,72.0,7.0,25.0,58.0,7.0,0.48
ofsetni papir 80 g,150 dot,287,72.0,0.0,100.0,60.0,30.0,24.0,-11.0,30.0,61.0,-11.0,0.98
ofsetni papir 80 g,150 dot,288,72.0,31.0,100.0,60.0,27.0,87.0,-5.0,27.0,83.0,-5.0,0.48
ofsetni papir 80 g,150 dot,289,72.0,72.0,100.0,60.0,26.0,27.0,-0.0,25.0,98.0,-0.0,0.34
ofsetni papir 80 g,150 dot,290,72.0,100.0,100.0,60.0,24.0,81.0,1.0,25.0,71.0,1.0,0.69
ofsetni papir 80 g,150 dot,291,100.0,0.0,100.0,60.0,29.0,26.0,-13.0,29.0,80.0,-12.0,0.53
ofsetni papir 80 g,150 dot,292,100.0,31.0,100.0,60.0,25.0,92.0,-8.0,27.0,31.0,-7.0,1.18
ofsetni papir 80 g,150 dot,293,100.0,72.0,100.0,60.0,24.0,14.0,-2.0,24.0,99.0,-2.0,0.63
ofsetni papir 80 g,150 dot,294,100.0,100.0,100.0,60.0,23.0,46.0,-0.0,23.0,44.0,-0.0,0.03
ofsetni papir 80 g,150 dot,295,0.0,0.0,0.0,88.0,26.0,73.0,-0.0,33.0,63.0,-11.0,12.96
ofsetni papir 80 g,150 dot,296,0.0,52.0,0.0,88.0,24.0,40.0,2.0,24.0,59.0,2.0,0.32
ofsetni papir 80 g,150 dot,297,0.0,100.0,0.0,88.0,23.0,19.0,4.0,22.0,82.0,5.0,0.44
ofsetni papir 80 g,150 dot,298,31.0,0.0,0.0,88.0,26.0,43.0,-1.0,26.0,83.0,-1.0,0.33
ofsetni papir 80 g,150 dot,299,31.0,52.0,0.0,88.0,24.0,54.0,0.0,25.0,44.0,0.0,0.79
ofsetni papir 80 g,150 dot,300,31.0,100.0,0.0,88.0,21.0,44.0,3.0,23.0,76.0,3.0,1.74
ofsetni papir 80 g,150 dot,301,72.0,0.0,0.0,88.0,23.0,89.0,-2.0,25.0,80.0,-2.0,1.4
ofsetni papir 80 g,150 dot,302,72.0,52.0,0.0,88.0,23.0,58.0,-0.0,24.0,70.0,-0.0,0.92
ofsetni papir 80 g,150 dot,303,72.0,100.0,0.0,88.0,23.0,35.0,1.0,24.0,4.0,0.0,0.7
ofsetni papir 80 g,150 dot,304,100.0,0.0,0.0,88.0,24.0,66.0,-2.0,25.0,78.0,-2.0,0.99
ofsetni papir 80 g,150 dot,305,100.0,52.0,0.0,88.0,24.0,27.0,-0.0,24.0,66.0,-1.0,0.61
ofsetni papir 80 g,150 dot,306,100.0,100.0,0.0,88.0,22.0,50.0,0.0,23.0,93.0,0.0,1.04
ofsetni papir 80 g,150 dot,307,0.0,0.0,52.0,88.0,28.0,37.0,-1.0,28.0,75.0,-1.0,0.3
ofsetni papir 80 g,150 dot,308,0.0,52.0,52.0,88.0,25.0,8.0,1.0,25.0,60.0,1.0,0.58
ofsetni papir 80 g,150 dot,309,0.0,100.0,52.0,88.0,18.0,85.0,5.0,49.0,8.0,31.0,31.07
ofsetni papir 80 g,150 dot,310,31.0,0.0,52.0,88.0,25.0,53.0,-2.0,25.0,97.0,-2.0,0.41
ofsetni papir 80 g,150 dot,311,31.0,52.0,52.0,88.0,24.0,75.0,0.0,24.0,9.0,0.0,0.54
ofsetni papir 80 g,150 dot,312,31.0,100.0,52.0,88.0,22.0,77.0,2.0,22.0,47.0,2.0,0.26
ofsetni papir 80 g,150 dot,313,72.0,0.0,52.0,88.0,24.0,2.0,-3.0,24.0,78.0,-3.0,0.76
ofsetni papir 80 g,150 dot,314,72.0,52.0,52.0,88.0,24.0,1.0,-0.0,24.0,83.0,-0.0,0.63
ofsetni papir 80 g,150 dot,315,72.0,100.0,52.0,88.0,23.0,97.0,0.0,24.0,4.0,0.0,0.06
ofsetni papir 80 g,150 dot,316,100.0,0.0,52.0,88.0,24.0,3.0,-3.0,24.0,71.0,-3.0,0.51
ofsetni papir 80 g,150 dot,317,100.0,52.0,52.0,88.0,24.0,51.0,-0.0,23.0,49.0,-1.0,0.8
ofsetni papir 80 g,150 dot,318,100.0,100.0,52.0,88.0,25.0,0.0,-0.0,24.0,26.0,-0.0,0.64
ofsetni papir 80 g,150 dot,319,0.0,0.0,100.0,88.0,27.0,94.0,-1.0,28.0,54.0,-2.0,0.55
ofsetni papir 80 g,150 dot,320,0.0,52.0,100.0,88.0,26.0,12.0,0.0,26.0,29.0,0.0,0.42
ofsetni papir 80 g,150 dot,321,0.0,100.0,100.0,88.0,23.0,8.0,3.0,25.0,2.0,3.0,1.41
ofsetni papir 80 g,150 dot,322,31.0,0.0,100.0,88.0,26.0,57.0,-2.0,26.0,97.0,-2.0,0.57
ofsetni papir 80 g,150 dot,323,31.0,52.0,100.0,88.0,18.0,84.0,-0.0,26.0,11.0,4.0,13.09
ofsetni papir 80 g,150 dot,324,31.0,100.0,100.0,88.0,19.0,61.0,2.0,20.0,79.0,2.0,0.91
ofsetni papir 80 g,150 dot,325,72.0,0.0,100.0,88.0,23.0,39.0,-4.0,24.0,12.0,-4.0,0.59
ofsetni papir 80 g,150 dot,326,72.0,52.0,100.0,88.0,23.0,38.0,-1.0,23.0,97.0,-1.0,0.53
ofsetni papir 80 g,150 dot,327,72.0,100.0,100.0,88.0,23.0,57.0,0.0,24.0,8.0,0.0,0.53
ofsetni papir 80 g,150 dot,328,100.0,0.0,100.0,88.0,23.0,54.0,-4.0,24.0,65.0,-4.0,0.84
ofsetni papir 80 g,150 dot,329,100.0,52.0,100.0,88.0,24.0,9.0,-1.0,24.0,56.0,-1.0,0.35
ofsetni papir 80 g,150 dot,330,100.0,100.0,100.0,88.0,24.0,12.0,-0.0,25.0,82.0,-0.0,1.31
ofsetni papir 80 g,150 dot,331,0.0,0.0,0.0,100.0,27.0,24.0,-0.0,27.0,48.0,-0.0,0.29
ofsetni papir 80 g,150 dot,332,0.0,52.0,0.0,100.0,25.0,5.0,0.0,25.0,42.0,0.0,0.37
ofsetni papir 80 g,150 dot,333,0.0,100.0,0.0,100.0,24.0,22.0,1.0,24.0,51.0,1.0,0.39
ofsetni papir 80 g,150 dot,334,52.0,0.0,0.0,100.0,22.0,55.0,-0.0,24.0,70.0,-1.0,1.57
ofsetni papir 80 g,150 dot,335,52.0,52.0,0.0,100.0,22.0,85.0,-0.0,24.0,34.0,-0.0,1.13
ofsetni papir 80 g,150 dot,336,52.0,100.0,0.0,100.0,23.0,6.0,0.0,23.0,87.0,0.0,0.59
ofsetni papir 80 g,150 dot,337,100.0,0.0,0.0,100.0,15.0,76.0,-1.0,75.0,26.0,-12.0,59.11
ofsetni papir 80 g,150 dot,338,100.0,52.0,0.0,100.0,17.0,20.0,-0.0,18.0,94.0,-0.0,1.27
ofsetni papir 80 g,150 dot,339,100.0,100.0,0.0,100.0,20.0,77.0,0.0,21.0,55.0,0.0,0.63
ofsetni papir 80 g,150 dot,340,0.0,0.0,52.0,100.0,22.0,38.0,-0.0,23.0,67.0,-0.0,0.92
ofsetni papir 80 g,150 dot,341,0.0,52.0,52.0,100.0,23.0,28.0,0.0,23.0,59.0,0.0,0.31
ofsetni papir 80 g,150 dot,342,0.0,100.0,52.0,100.0,22.0,88.0,1.0,24.0,30.0,1.0,1.06
ofsetni papir 80 g,150 dot,343,52.0,0.0,52.0,100.0,24.0,45.0,-1.0,24.0,2.0,-1.0,0.32
ofsetni papir 80 g,150 dot,344,52.0,52.0,52.0,100.0,24.0,9.0,-0.0,25.0,4.0,-0.0,0.71
ofsetni papir 80 g,150 dot,345,52.0,100.0,52.0,100.0,24.0,36.0,0.0,23.0,97.0,0.0,0.28
ofsetni papir 80 g,150 dot,346,100.0,0.0,52.0,100.0,23.0,75.0,-1.0,24.0,65.0,-1.0,0.91
ofsetni papir 80 g,150 dot,347,100.0,52.0,52.0,100.0,24.0,48.0,-0.0,24.0,99.0,-1.0,0.44
ofsetni papir 80 g,150 dot,348,100.0,100.0,52.0,100.0,24.0,8.0,-0.0,24.0,83.0,-0.0,0.61
ofsetni papir 80 g,150 dot,349,0.0,0.0,100.0,100.0,24.0,0.0,-1.0,23.0,91.0,-1.0,0.28
ofsetni papir 80 g,150 dot,350,0.0,52.0,100.0,100.0,24.0,30.0,0.0,24.0,40.0,0.0,0.46
ofsetni papir 80 g,150 dot,351,0.0,100.0,100.0,100.0,18.0,38.0,1.0,47.0,32.0,-29.0,39.62
ofsetni papir 80 g,150 dot,352,52.0,0.0,100.0,100.0,18.0,80.0,-2.0,19.0,60.0,-2.0,0.55
ofsetni papir 80 g,150 dot,353,52.0,52.0,100.0,100.0,23.0,66.0,-0.0,23.0,51.0,-0.0,0.21
ofsetni papir 80 g,150 dot,354,52.0,100.0,100.0,100.0,23.0,10.0,0.0,22.0,53.0,0.0,0.43
ofsetni papir 80 g,150 dot,355,100.0,0.0,100.0,100.0,21.0,31.0,-2.0,20.0,17.0,-2.0,1.11
ofsetni papir 80 g,150 dot,356,100.0,52.0,100.0,100.0,21.0,83.0,-1.0,21.0,75.0,-1.0,0.17
ofsetni papir 80 g,150 dot,357,100.0,100.0,100.0,100.0,25.0,5.0,-0.0,23.0,59.0,-0.0,1.06
ofsetni papir 80 g,150 dot,358,5.0,0.0,0.0,0.0,90.0,51.0,-0.0,92.0,2.0,-0.0,1.18
ofsetni papir 80 g,150 dot,359,28.0,0.0,0.0,0.0,85.0,53.0,-6.0,85.0,14.0,-6.0,0.46
ofsetni papir 80 g,150 dot,360,95.0,0.0,0.0,0.0,56.0,1.0,-30.0,56.0,35.0,-30.0,0.37
ofsetni papir 80 g,150 dot,361,0.0,4.0,0.0,0.0,92.0,69.0,1.0,92.0,59.0,1.0,0.24
ofsetni papir 80 g,150 dot,362,0.0,11.0,0.0,0.0,91.0,20.0,1.0,90.0,79.0,2.0,0.5
ofsetni papir 80 g,150 dot,363,0.0,93.0,0.0,0.0,53.0,7.0,51.0,52.0,97.0,50.0,0.48
ofsetni papir 80 g,150 dot,364,0.0,0.0,4.0,0.0,92.0,81.0,1.0,92.0,86.0,1.0,0.32
ofsetni papir 80 g,150 dot,365,0.0,0.0,11.0,0.0,92.0,58.0,0.0,56.0,40.0,8.0,28.18
ofsetni papir 80 g,150 dot,366,0.0,0.0,93.0,0.0,87.0,6.0,-4.0,86.0,72.0,-3.0,0.48
ofsetni papir 80 g,150 dot,367,0.0,0.0,0.0,4.0,87.0,65.0,0.0,87.0,33.0,0.0,0.24
ofsetni papir 80 g,150 dot,368,0.0,0.0,0.0,13.0,79.0,9.0,0.0,79.0,49.0,0.0,0.34
ofsetni papir 80 g,150 dot,369,0.0,0.0,0.0,95.0,28.0,36.0,-0.0,28.0,40.0,-0.0,0.19
ofsetni papir 80 g,150 dot,370,9.0,7.0,7.0,0.0,84.0,73.0,0.0,84.0,25.0,0.0,0.37
ofsetni papir 80 g,150 dot,371,19.0,15.0,15.0,0.0,75.0,57.0,0.0,75.0,30.0,0.0,0.56
ofsetni papir 80 g,150 dot,372,29.0,23.0,23.0,0.0,66.0,57.0,-0.0,65.0,80.0,-0.0,0.63
ofsetni papir 80 g,150 dot,373,39.0,31.0,31.0,0.0,56.0,70.0,-0.0,56.0,53.0,-0.0,0.48
ofsetni papir 80 g,150 dot,374,49.0,39.0,39.0,4.0,45.0,15.0,-0.0,44.0,94.0,-0.0,0.42
ofsetni papir 80 g,150 dot,375,59.0,47.0,47.0,16.0,37.0,27.0,-0.0,37.0,70.0,-0.0,0.48
ofsetni papir 80 g,150 dot,376,69.0,55.0,55.0,31.0,32.0,37.0,-1.0,32.0,89.0,-1.0,0.56
ofsetni papir 80 g,150 dot,377,79.0,63.0,63.0,48.0,28.0,88.0,-1.0,29.0,8.0,-1.0,0.36
ofsetni papir 80 g,150 dot,378,89.0,71.0,71.0,72.0,25.0,1.0,-1.0,25.0,60.0,-1.0,0.51
ofsetni papir 80 g,150 dot,379,99.0,79.0,79.0,100.0,20.0,38.0,-0.0,35.0,41.0,-5.0,22.08
ofsetni papir 80 g,150 dot,380,9.0,7.0,7.0,0.0,85.0,49.0,0.0,85.0,46.0,0.0,0.25
ofsetni papir 80 g,150 dot,381,18.0,14.0,14.0,0.0,77.0,60.0,0.0,77.0,23.0,0.0,0.35
ofsetni papir 80 g,150 dot,382,27.0,21.0,21.0,0.0,68.0,27.0,0.0,68.0,42.0,0.0,0.2
ofsetni papir 80 g,150 dot,383,36.0,29.0,29.0,0.0,58.0,86.0,-0.0,59.0,35.0,-0.0,0.53
ofsetni papir 80 g,150 dot,384,45.0,36.0,36.0,0.0,50.0,12.0,-0.0,50.0,3.0,-0.0,0.3
ofsetni papir 80 g,150 dot,385,54.0,43.0,43.0,0.0,43.0,38.0,-0.0,43.0,72.0,-0.0,0.48
ofsetni papir 80 g,150 dot,386,63.0,50.0,50.0,0.0,39.0,69.0,-1.0,39.0,22.0,-1.0,0.46
ofsetni papir 80 g,150 dot,387,72.0,58.0,58.0,0.0,35.0,81.0,-1.0,35.0,57.0,-1.0,0.56
ofsetni papir 80 g,150 dot,388,81.0,65.0,65.0,2.0,32.0,39.0,-2.0,33.0,3.0,-2.0,0.72
ofsetni papir 80 g,150 dot,389,90.0,72.0,72.0,49.0,26.0,52.0,-1.0,26.0,46.0,-2.0,0.71
ofsetni papir 80 g,150 dot,390,24.0,19.0,19.0,11.0,63.0,34.0,-0.0,63.0,29.0,-0.0,0.31
ofsetni papir 80 g,150 dot,391,49.0,39.0,39.0,30.0,37.0,62.0,-0.0,38.0,35.0,-0.0,0.66
ofsetni papir 80 g,150 dot,392,74.0,59.0,59.0,59.0,28.0,84.0,-1.0,29.0,12.0,-1.0,0.32
ofsetni papir 80 g,150 dot,393,28.0,0.0,0.0,0.0,85.0,83.0,-6.0,43.0,8.0,36.0,45.99
ofsetni papir 80 g,150 dot,394,64.0,0.0,0.0,0.0,67.0,57.0,-22.0,67.0,34.0,-22.0,0.25
ofsetni papir 80 g,150 dot,395,0.0,21.0,0.0,0.0,89.0,38.0,4.0,87.0,87.0,6.0,1.73
ofsetni papir 80 g,150 dot,396,0.0,52.0,0.0,0.0,73.0,76.0,20.0,73.0,39.0,20.0,0.49
ofsetni papir 80 g,150 dot,397,0.0,0.0,21.0,0.0,92.0,54.0,-0.0,92.0,31.0,-0.0,1.1
ofsetni papir 80 g,150 dot,398,0.0,0.0,52.0,0.0,90.0,46.0,-2.0,90.0,13.0,-2.0,0.3
ofsetni papir 80 g,150 dot,399,0.0,0.0,0.0,25.0,69.0,68.0,0.0,69.0,76.0,0.0,0.23
ofsetni papir 80 g,150 dot,400,0.0,0.0,0.0,60.0,43.0,82.0,-0.0,40.0,76.0,-0.0,2.94
ofsetni papir 80 g,200 dot,1,0.0,0.0,0.0,0.0,93.0,12.0,1.0,93.0,22.0,1.0,0.18
ofsetni papir 80 g,200 dot,2,0.0,21.0,0.0,0.0,87.0,23.0,6.0,86.0,57.0,7.0,0.93
ofsetni papir 80 g,200 dot,3,0.0,52.0,0.0,0.0,73.0,0.0,19.0,71.0,73.0,21.0,1.4
ofsetni papir 80 g,200 dot,4,0.0,81.0,0.0,0.0,59.0,27.0,37.0,57.0,84.0,39.0,1.55
ofsetni papir 80 g,200 dot,5,0.0,100.0,0.0,0.0,49.0,42.0,54.0,48.0,61.0,56.0,0.89
ofsetni papir 80 g,200 dot,6,16.0,0.0,0.0,0.0,88.0,61.0,-2.0,88.0,5.0,-3.0,0.65
ofsetni papir 80 g,200 dot,7,16.0,21.0,0.0,0.0,83.0,6.0,3.0,81.0,57.0,3.0,1.17
ofsetni papir 80 g,200 dot,8,16.0,52.0,0.0,0.0,69.0,42.0,16.0,67.0,24.0,17.0,1.94
ofsetni papir 80 g,200 dot,9,16.0,81.0,0.0,0.0,54.0,36.0,31.0,52.0,50.0,33.0,1.91
ofsetni papir 80 g,200 dot,10,16.0,100.0,0.0,0.0,45.0,85.0,47.0,46.0,48.0,46.0,0.82
ofsetni papir 80 g,200 dot,11,39.0,0.0,0.0,0.0,81.0,7.0,-9.0,79.0,79.0,-10.0,1.23
ofsetni papir 80 g,200 dot,12,39.0,21.0,0.0,0.0,74.0,93.0,-3.0,72.0,95.0,-4.0,1.65
ofsetni papir 80 g,200 dot,13,39.0,52.0,0.0,0.0,62.0,97.0,8.0,60.0,94.0,9.0,1.87
ofsetni papir 80 g,200 dot,14,39.0,81.0,0.0,0.0,50.0,37.0,24.0,48.0,63.0,24.0,1.78
ofsetni papir 80 g,200 dot,15,39.0,100.0,0.0,0.0,42.0,54.0,38.0,42.0,14.0,36.0,0.87
ofsetni papir 80 g,200 dot,16,64.0,0.0,0.0,0.0,70.0,44.0,-18.0,68.0,19.0,-20.0,2.01
ofsetni papir 80 g,200 dot,17,64.0,21.0,0.0,0.0,63.0,64.0,-14.0,61.0,73.0,-14.0,1.71
ofsetni papir 80 g,200 dot,18,64.0,52.0,0.0,0.0,53.0,34.0,-2.0,51.0,25.0,-3.0,2.18
ofsetni papir 80 g,200 dot,19,64.0,81.0,0.0,0.0,43.0,38.0,9.0,40.0,67.0,10.0,2.5
ofsetni papir 80 g,200 dot,20,64.0,100.0,0.0,0.0,35.0,84.0,20.0,34.0,9.0,20.0,1.61
ofsetni papir 80 g,200 dot,21,85.0,0.0,0.0,0.0,60.0,70.0,-27.0,58.0,75.0,-28.0,1.8
ofsetni papir 80 g,200 dot,22,85.0,21.0,0.0,0.0,55.0,22.0,-22.0,53.0,49.0,-23.0,1.69
ofsetni papir 80 g,200 dot,23,85.0,52.0,0.0,0.0,46.0,81.0,-11.0,44.0,61.0,-10.0,2.15
ofsetni papir 80 g,200 dot,24,85.0,81.0,0.0,0.0,37.0,79.0,0.0,35.0,61.0,0.0,1.87
ofsetni papir 80 g,200 dot,25,85.0,100.0,0.0,0.0,32.0,38.0,8.0,30.0,57.0,8.0,1.43
ofsetni papir 80 g,200 dot,26,100.0,0.0,0.0,0.0,54.0,84.0,-32.0,54.0,16.0,-32.0,0.66
ofsetni papir 80 g,200 dot,27,100.0,21.0,0.0,0.0,48.0,92.0,-28.0,48.0,15.0,-27.0,0.87
ofsetni papir 80 g,200 dot,28,100.0,52.0,0.0,0.0,42.0,26.0,-17.0,41.0,1.0,-16.0,1.27
ofsetni papir 80 g,200 dot,29,100.0,81.0,0.0,0.0,33.0,85.0,-5.0,33.0,57.0,-4.0,0.48
ofsetni papir 80 g,200 dot,30,100.0,100.0,0.0,0.0,29.0,68.0,2.0,29.0,34.0,1.0,0.39
ofsetni papir 80 g,200 dot,31,0.0,0.0,21.0,0.0,91.0,62.0,-1.0,91.0,65.0,-1.0,0.1
ofsetni papir 80 g,200 dot,32,0.0,21.0,21.0,0.0,83.0,18.0,5.0,82.0,58.0,6.0,1.61
ofsetni papir 80 g,200 dot,33,0.0,52.0,21.0,0.0,71.0,24.0,20.0,69.0,70.0,22.0,1.81
ofsetni papir 80 g,200 dot,34,0.0,81.0,21.0,0.0,58.0,21.0,39.0,56.0,42.0,42.0,1.9
